id,project_code,country,managed_by,fulfill_via,vendor_inco_term,product_group,sub_class,vendor,shipment_mode,shipment_mode_clean,scheduled_date,delivered_date,recorded_date,year,month,year_month,weight_kg,freight_cost_usd,freight_category,freight_flag,freight_outlier_flag,line_item_value,cost_per_kg,delivery_status,days_variance
1,100-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,EXW,HRDT,HIV test,RANBAXY Fine Chemicals LTD.,Air,Air,2006-06-02,2006-06-02,2006-06-02,2006,6,2006-06,13,780.34,Numeric,FALSE,FALSE,551,60.026153846153846,On-Time,0
3,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,ARV,Pediatric,Aurobindo Pharma Limited,Air,Air,2006-11-14,2006-11-14,2006-11-14,2006,11,2006-11,358,4521.5,Numeric,FALSE,FALSE,6200,12.629888268156424,On-Time,0
4,100-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,FCA,HRDT,HIV test,Abbott GmbH & Co. KG,Air,Air,2006-08-27,2006-08-27,2006-08-27,2006,8,2006-08,171,1653.78,Numeric,FALSE,FALSE,40000,9.671228070175438,On-Time,0
15,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Air,Air,2006-09-01,2006-09-01,2006-09-01,2006,9,2006-09,1855,16007.06,Numeric,FALSE,FALSE,127360.8,8.629142857142856,On-Time,0
16,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,ARV,Adult,Aurobindo Pharma Limited,Air,Air,2006-08-11,2006-08-11,2006-08-11,2006,8,2006-08,7590,45450.08,Numeric,FALSE,TRUE,121600,5.988152832674572,On-Time,0
23,112-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,ARV,Pediatric,Aurobindo Pharma Limited,Air,Air,2006-09-28,2006-09-28,2006-09-28,2006,9,2006-09,504,5920.42,Numeric,FALSE,FALSE,2225.6,11.74686507936508,On-Time,0
44,110-ZM-T01,Zambia,PMO - US,Direct Drop,DDU,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Air,Air,2007-01-08,2007-01-08,2007-01-08,2007,1,2007-01,328,0,Included,TRUE,FALSE,4374,NA,On-Time,0
45,109-TZ-T01,Tanzania,PMO - US,Direct Drop,EXW,ARV,Adult,Aurobindo Pharma Limited,Air,Air,2006-11-24,2006-11-24,2006-11-24,2006,11,2006-11,1478,6212.41,Numeric,FALSE,FALSE,60834.55,4.203254397834912,On-Time,0
46,112-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,ARV,Adult,Aurobindo Pharma Limited,Air,Air,2006-12-07,2006-12-07,2006-12-07,2006,12,2006-12,NA,NA,Cross-reference,TRUE,FALSE,532.35,NA,On-Time,0
47,110-ZM-T01,Zambia,PMO - US,Direct Drop,CIP,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Air,2007-01-30,2007-01-30,2007-01-30,2007,1,2007-01,643,0,Included,TRUE,FALSE,115080,NA,On-Time,0
60,110-ZM-T01,Zambia,PMO - US,Direct Drop,CIP,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Air,2007-02-16,2007-02-16,2007-02-16,2007,2,2007-02,643,0,Included,TRUE,FALSE,115080,NA,On-Time,0
61,110-ZM-T01,Zambia,PMO - US,Direct Drop,EXW,HRDT,HIV test,"Trinity Biotech, Plc",Air,Air,2007-01-08,2007-01-08,2007-01-08,2007,1,2007-01,853,13569.49,Numeric,FALSE,FALSE,100000,15.907960140679952,On-Time,0
62,102-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,HRDT,HIV test,EY Laboratories,Air,Air,2007-01-10,2007-01-10,2007-01-10,2007,1,2007-01,NA,0,Included,TRUE,FALSE,850,NA,On-Time,0
64,107-RW-T01,Rwanda,PMO - US,Direct Drop,EXW,ARV,Adult,CIPLA LIMITED,Air,Air,2007-02-27,2007-02-27,2007-02-27,2007,2,2007-02,7416,64179.42,Numeric,FALSE,TRUE,99800,8.65418284789644,On-Time,0
65,106-HT-T01,Haiti,PMO - US,Direct Drop,EXW,HRDT,HIV test,Abbott GmbH & Co. KG,Air,Air,2007-01-18,2007-01-18,2007-01-18,2007,1,2007-01,256,1760.32,Numeric,FALSE,FALSE,60000,6.87625,On-Time,0
68,113-ZW-T01,Zimbabwe,PMO - US,Direct Drop,CIP,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Air,Air,2007-03-19,2007-03-19,2007-03-19,2007,3,2007-03,NA,0,Included,TRUE,FALSE,14764.5,NA,On-Time,0
69,102-NG-T01,Nigeria,PMO - US,Direct Drop,CIP,HRDT,HIV test,ACCOUN NIGERIA LIMITED,N/A,NA,2007-05-07,2007-05-07,2007-05-07,2007,5,2007-05,NA,0,Included,TRUE,FALSE,120000,NA,On-Time,0
80,107-RW-T01,Rwanda,PMO - US,Direct Drop,EXW,HRDT,HIV test,Premier Medical Corporation Ltd.,Air,Air,2007-03-29,2007-03-29,2007-03-29,2007,3,2007-03,710,3120.7,Numeric,FALSE,FALSE,33000,4.395352112676056,On-Time,0
87,109-TZ-T01,Tanzania,PMO - US,Direct Drop,CIP,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Air,Air,2007-06-06,2007-06-06,2007-06-06,2007,6,2007-06,162,912.96,Numeric,FALSE,FALSE,8964.08,5.635555555555555,On-Time,0
92,102-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,HRDT,HIV test,Abbott GmbH & Co. KG,Air,Air,2007-06-19,2007-06-19,2007-06-19,2007,6,2007-06,341,2682.47,Numeric,FALSE,FALSE,80000,7.866480938416422,On-Time,0
96,102-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Air,Air,2007-06-19,2007-06-19,2007-06-19,2007,6,2007-06,2278,15893.71,Numeric,FALSE,FALSE,202500,6.977045654082528,On-Time,0
108,104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,CIP,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Air,Air,2007-10-02,2007-10-02,2007-10-02,2007,10,2007-10,2126,0,Included,TRUE,FALSE,140581.5,NA,On-Time,0
115,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,ARV,Pediatric,Aurobindo Pharma Limited,Air,Air,2007-10-15,2007-10-15,2007-10-15,2007,10,2007-10,941,4193.49,Numeric,FALSE,FALSE,1920,4.456418703506907,On-Time,0
116,108-VN-T01,Vietnam,PMO - US,Direct Drop,FCA,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Air,2007-08-27,2007-08-27,2007-08-27,2007,8,2007-08,117,1767.38,Numeric,FALSE,FALSE,41095,15.105811965811967,On-Time,0
130,100-HT-T01,Haiti,PMO - US,Direct Drop,EXW,HRDT,HIV test,"Orgenics, Ltd",Air,Air,2007-08-13,2007-08-21,2007-08-21,2007,8,2007-08,171,3518.38,Numeric,FALSE,FALSE,53992.5,20.5753216374269,Late,8
134,100-HT-T01,Haiti,PMO - US,Direct Drop,EXW,HRDT,HIV test,Orasure Technologies Inc.,Air,Air,2007-08-25,2007-08-25,2007-08-25,2007,8,2007-08,60,3097.85,Numeric,FALSE,FALSE,8750,51.630833333333335,On-Time,0
138,109-TZ-T01,Tanzania,PMO - US,Direct Drop,EXW,HRDT,HIV test,"Standard Diagnostics, Inc.",Air,Air,2007-10-16,2007-10-16,2007-10-16,2007,10,2007-10,3335,27869.74,Numeric,FALSE,FALSE,200000,8.356743628185907,On-Time,0
139,109-TZ-T01,Tanzania,PMO - US,Direct Drop,EXW,HRDT,HIV test,"Standard Diagnostics, Inc.",Air,Air,2007-11-22,2007-11-22,2007-11-22,2007,11,2007-11,3335,28461.1,Numeric,FALSE,FALSE,200000,8.534062968515741,On-Time,0
140,109-TZ-T01,Tanzania,PMO - US,Direct Drop,EXW,HRDT,HIV test,"Standard Diagnostics, Inc.",Air,Air,2007-11-22,2007-11-22,2007-11-22,2007,11,2007-11,3335,28359.8,Numeric,FALSE,FALSE,200000,8.503688155922038,On-Time,0
161,117-ET-T01,Ethiopia,PMO - US,Direct Drop,EXW,ARV,Adult,Aurobindo Pharma Limited,Air,Air,2007-11-20,2007-11-20,2007-11-20,2007,11,2007-11,4228,12237.61,Numeric,FALSE,FALSE,99200,2.894420529801325,On-Time,0
176,102-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Air,Air,2007-10-03,2007-10-03,2007-10-03,2007,10,2007-10,3263,20885.78,Numeric,FALSE,FALSE,270000,6.4007906834201655,On-Time,0
262,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,ARV,Pediatric,"JSI R&T INSTITUTE, INC.",N/A,NA,2008-01-29,2008-01-29,2008-01-29,2008,1,2008-01,NA,0,Included,TRUE,FALSE,317.6,NA,On-Time,0
269,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.",Air,Air,2008-01-21,2008-01-21,2008-01-21,2008,1,2008-01,76,2282.57,Numeric,FALSE,FALSE,17000,30.033815789473685,On-Time,0
270,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Air,Air,2008-01-21,2008-01-21,2008-01-21,2008,1,2008-01,23,2149.05,Numeric,FALSE,FALSE,3352,93.43695652173913,On-Time,0
284,107-RW-T01,Rwanda,PMO - US,Direct Drop,EXW,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Air,Air,2008-01-31,2008-01-31,2008-01-31,2008,1,2008-01,99,0.75,Numeric,FALSE,FALSE,15,0.007575757575757576,On-Time,0
305,123-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Air,Air,2008-02-05,2008-02-05,2008-02-05,2008,2,2008-02,NA,0,Included,TRUE,FALSE,6.5,NA,On-Time,0
343,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,ARV,Pediatric,"JSI R&T INSTITUTE, INC.",N/A,NA,2008-01-21,2008-01-04,2008-01-04,2008,1,2008-01,NA,0,Included,TRUE,FALSE,340,NA,On-Time,-17
