id,country,product_group,shipment_mode,vendor,managed_by,fulfill_via,scheduled_date,delivered_date,year,month,year_month,freight_cost_usd,weight_kg,cost_per_kg,freight_category,delivery_status,days_variance,line_item_value,is_on_time,is_late,is_air,is_truck
1,Côte d'Ivoire,HRDT,Air,RANBAXY Fine Chemicals LTD.,PMO - US,Direct Drop,2006-06-02,2006-06-02,2006,6,2006-06,780.34,13,60.026153846153846,Numeric,On-Time,0,551,1,0,1,0
3,Vietnam,ARV,Air,Aurobindo Pharma Limited,PMO - US,Direct Drop,2006-11-14,2006-11-14,2006,11,2006-11,4521.5,358,12.629888268156424,Numeric,On-Time,0,6200,1,0,1,0
4,Côte d'Ivoire,HRDT,Air,Abbott GmbH & Co. KG,PMO - US,Direct Drop,2006-08-27,2006-08-27,2006,8,2006-08,1653.78,171,9.671228070175438,Numeric,On-Time,0,40000,1,0,1,0
15,Vietnam,ARV,Air,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),PMO - US,Direct Drop,2006-09-01,2006-09-01,2006,9,2006-09,16007.06,1855,8.629142857142856,Numeric,On-Time,0,127360.8,1,0,1,0
16,Vietnam,ARV,Air,Aurobindo Pharma Limited,PMO - US,Direct Drop,2006-08-11,2006-08-11,2006,8,2006-08,45450.08,7590,5.988152832674572,Numeric,On-Time,0,121600,1,0,1,0
23,Nigeria,ARV,Air,Aurobindo Pharma Limited,PMO - US,Direct Drop,2006-09-28,2006-09-28,2006,9,2006-09,5920.42,504,11.74686507936508,Numeric,On-Time,0,2225.6,1,0,1,0
44,Zambia,ARV,Air,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),PMO - US,Direct Drop,2007-01-08,2007-01-08,2007,1,2007-01,0,328,NA,Included,On-Time,0,4374,1,0,1,0
45,Tanzania,ARV,Air,Aurobindo Pharma Limited,PMO - US,Direct Drop,2006-11-24,2006-11-24,2006,11,2006-11,6212.41,1478,4.203254397834912,Numeric,On-Time,0,60834.55,1,0,1,0
46,Nigeria,ARV,Air,Aurobindo Pharma Limited,PMO - US,Direct Drop,2006-12-07,2006-12-07,2006,12,2006-12,NA,NA,NA,Cross-reference,On-Time,0,532.35,1,0,1,0
47,Zambia,ARV,Air,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),PMO - US,Direct Drop,2007-01-30,2007-01-30,2007,1,2007-01,0,643,NA,Included,On-Time,0,115080,1,0,1,0
60,Zambia,ARV,Air,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),PMO - US,Direct Drop,2007-02-16,2007-02-16,2007,2,2007-02,0,643,NA,Included,On-Time,0,115080,1,0,1,0
61,Zambia,HRDT,Air,"Trinity Biotech, Plc",PMO - US,Direct Drop,2007-01-08,2007-01-08,2007,1,2007-01,13569.49,853,15.907960140679952,Numeric,On-Time,0,100000,1,0,1,0
62,Nigeria,HRDT,Air,EY Laboratories,PMO - US,Direct Drop,2007-01-10,2007-01-10,2007,1,2007-01,0,NA,NA,Included,On-Time,0,850,1,0,1,0
64,Rwanda,ARV,Air,CIPLA LIMITED,PMO - US,Direct Drop,2007-02-27,2007-02-27,2007,2,2007-02,64179.42,7416,8.65418284789644,Numeric,On-Time,0,99800,1,0,1,0
65,Haiti,HRDT,Air,Abbott GmbH & Co. KG,PMO - US,Direct Drop,2007-01-18,2007-01-18,2007,1,2007-01,1760.32,256,6.87625,Numeric,On-Time,0,60000,1,0,1,0
68,Zimbabwe,ARV,Air,BRISTOL-MYERS SQUIBB,PMO - US,Direct Drop,2007-03-19,2007-03-19,2007,3,2007-03,0,NA,NA,Included,On-Time,0,14764.5,1,0,1,0
69,Nigeria,HRDT,NA,ACCOUN NIGERIA LIMITED,PMO - US,Direct Drop,2007-05-07,2007-05-07,2007,5,2007-05,0,NA,NA,Included,On-Time,0,120000,1,0,NA,NA
80,Rwanda,HRDT,Air,Premier Medical Corporation Ltd.,PMO - US,Direct Drop,2007-03-29,2007-03-29,2007,3,2007-03,3120.7,710,4.395352112676056,Numeric,On-Time,0,33000,1,0,1,0
87,Tanzania,ARV,Air,BRISTOL-MYERS SQUIBB,PMO - US,Direct Drop,2007-06-06,2007-06-06,2007,6,2007-06,912.96,162,5.635555555555555,Numeric,On-Time,0,8964.08,1,0,1,0
92,Nigeria,HRDT,Air,Abbott GmbH & Co. KG,PMO - US,Direct Drop,2007-06-19,2007-06-19,2007,6,2007-06,2682.47,341,7.866480938416422,Numeric,On-Time,0,80000,1,0,1,0
96,Nigeria,HRDT,Air,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",PMO - US,Direct Drop,2007-06-19,2007-06-19,2007,6,2007-06,15893.71,2278,6.977045654082528,Numeric,On-Time,0,202500,1,0,1,0
108,Côte d'Ivoire,ARV,Air,BRISTOL-MYERS SQUIBB,PMO - US,Direct Drop,2007-10-02,2007-10-02,2007,10,2007-10,0,2126,NA,Included,On-Time,0,140581.5,1,0,1,0
115,Vietnam,ARV,Air,Aurobindo Pharma Limited,PMO - US,Direct Drop,2007-10-15,2007-10-15,2007,10,2007-10,4193.49,941,4.456418703506907,Numeric,On-Time,0,1920,1,0,1,0
116,Vietnam,ARV,Air,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),PMO - US,Direct Drop,2007-08-27,2007-08-27,2007,8,2007-08,1767.38,117,15.105811965811968,Numeric,On-Time,0,41095,1,0,1,0
130,Haiti,HRDT,Air,"Orgenics, Ltd",PMO - US,Direct Drop,2007-08-13,2007-08-21,2007,8,2007-08,3518.38,171,20.5753216374269,Numeric,Late,8,53992.5,0,1,1,0
134,Haiti,HRDT,Air,Orasure Technologies Inc.,PMO - US,Direct Drop,2007-08-25,2007-08-25,2007,8,2007-08,3097.85,60,51.630833333333335,Numeric,On-Time,0,8750,1,0,1,0
138,Tanzania,HRDT,Air,"Standard Diagnostics, Inc.",PMO - US,Direct Drop,2007-10-16,2007-10-16,2007,10,2007-10,27869.74,3335,8.356743628185907,Numeric,On-Time,0,200000,1,0,1,0
139,Tanzania,HRDT,Air,"Standard Diagnostics, Inc.",PMO - US,Direct Drop,2007-11-22,2007-11-22,2007,11,2007-11,28461.1,3335,8.534062968515741,Numeric,On-Time,0,200000,1,0,1,0
140,Tanzania,HRDT,Air,"Standard Diagnostics, Inc.",PMO - US,Direct Drop,2007-11-22,2007-11-22,2007,11,2007-11,28359.8,3335,8.503688155922038,Numeric,On-Time,0,200000,1,0,1,0
161,Ethiopia,ARV,Air,Aurobindo Pharma Limited,PMO - US,Direct Drop,2007-11-20,2007-11-20,2007,11,2007-11,12237.61,4228,2.894420529801325,Numeric,On-Time,0,99200,1,0,1,0
176,Nigeria,HRDT,Air,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",PMO - US,Direct Drop,2007-10-03,2007-10-03,2007,10,2007-10,20885.78,3263,6.4007906834201655,Numeric,On-Time,0,270000,1,0,1,0
262,South Africa,ARV,NA,"JSI R&T INSTITUTE, INC.",PMO - US,Direct Drop,2008-01-29,2008-01-29,2008,1,2008-01,0,NA,NA,Included,On-Time,0,317.6,1,0,NA,NA
269,Vietnam,ARV,Air,"GILEAD SCIENCES IRELAND, INC.",PMO - US,Direct Drop,2008-01-21,2008-01-21,2008,1,2008-01,2282.57,76,30.033815789473685,Numeric,On-Time,0,17000,1,0,1,0
270,Vietnam,ARV,Air,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),PMO - US,Direct Drop,2008-01-21,2008-01-21,2008,1,2008-01,2149.05,23,93.43695652173912,Numeric,On-Time,0,3352,1,0,1,0
284,Rwanda,HRDT,Air,"Orgenics, Ltd",PMO - US,Direct Drop,2008-01-31,2008-01-31,2008,1,2008-01,0.75,99,0.00757575757575757,Numeric,On-Time,0,15,1,0,1,0
305,Nigeria,HRDT,Air,"Orgenics, Ltd",PMO - US,Direct Drop,2008-02-05,2008-02-05,2008,2,2008-02,0,NA,NA,Included,On-Time,0,6.5,1,0,1,0
343,South Africa,ARV,NA,"JSI R&T INSTITUTE, INC.",PMO - US,Direct Drop,2008-01-21,2008-01-04,2008,1,2008-01,0,NA,NA,Included,On-Time,-17,340,1,0,NA,NA
361,Haiti,HRDT,Air,"Trinity Biotech, Plc",PMO - US,Direct Drop,2008-02-18,2008-02-18,2008,2,2008-02,0,NA,NA,Included,On-Time,0,278,1,0,1,0
391,Côte d'Ivoire,HRDT,Air,BIO-RAD LABORATORIES (FRANCE),PMO - US,Direct Drop,2008-06-17,2008-06-17,2008,6,2008-06,5446.51,509,10.700412573673873,Numeric,On-Time,0,36176,1,0,1,0
392,Côte d'Ivoire,HRDT,Air,"Standard Diagnostics, Inc.",PMO - US,Direct Drop,2009-03-19,2009-03-19,2009,3,2009-03,2656.12,206,12.89378640776699,Numeric,On-Time,0,13180,1,0,1,0
398,Guyana,HRDT,Air,"Orgenics, Ltd",PMO - US,Direct Drop,2008-04-09,2008-04-01,2008,4,2008-04,0,NA,NA,Included,On-Time,-8,2.4,1,0,1,0
399,Guyana,HRDT,Air,"Orgenics, Ltd",PMO - US,Direct Drop,2008-07-28,2008-07-28,2008,7,2008-07,360,14,25.714285714285715,Numeric,On-Time,0,2.13,1,0,1,0
400,Ethiopia,HRDT,NA,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,PMO - US,Direct Drop,2008-03-11,2008-03-11,2008,3,2008-03,0,NA,NA,Included,On-Time,0,13399.25,1,0,NA,NA
410,Zimbabwe,HRDT,Air,"Orgenics, Ltd",PMO - US,Direct Drop,2008-11-17,2008-11-17,2008,11,2008-11,4112.46,373,11.025361930294906,Numeric,On-Time,0,117631.66,1,0,1,0
411,Nigeria,HRDT,Air,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",PMO - US,Direct Drop,2008-04-17,2008-04-17,2008,4,2008-04,5468.88,483,11.322732919254658,Numeric,On-Time,0,38475,1,0,1,0
414,Namibia,HRDT,Air,"Orgenics, Ltd",PMO - US,Direct Drop,2008-06-04,2008-06-04,2008,6,2008-06,1715.17,33,51.974848484848486,Numeric,On-Time,0,10222.58,1,0,1,0
420,Vietnam,ARV,Air,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),PMO - US,Direct Drop,2008-06-03,2008-06-03,2008,6,2008-06,4051.34,654,6.194709480122325,Numeric,On-Time,0,96432,1,0,1,0
422,South Africa,ARV,Truck,S. BUYS WHOLESALER,PMO - US,Direct Drop,2008-04-24,2008-04-24,2008,4,2008-04,0,NA,NA,Included,On-Time,0,405.06,1,0,0,1
423,South Africa,ARV,Truck,S. BUYS WHOLESALER,PMO - US,Direct Drop,2008-04-24,2008-04-24,2008,4,2008-04,0,NA,NA,Included,On-Time,0,870,1,0,0,1
438,Vietnam,ARV,Air,BRISTOL-MYERS SQUIBB,PMO - US,Direct Drop,2008-07-12,2008-07-12,2008,7,2008-07,2211.05,81,27.296913580246915,Numeric,On-Time,0,2800,1,0,1,0
459,South Africa,ARV,NA,S. BUYS WHOLESALER,PMO - US,Direct Drop,2008-04-25,2008-04-07,2008,4,2008-04,0,NA,NA,Included,On-Time,-18,77.1,1,0,NA,NA
464,Nigeria,HRDT,Air,"Orgenics, Ltd",PMO - US,Direct Drop,2008-07-09,2008-07-09,2008,7,2008-07,16090.22,1251,12.861886490807354,Numeric,On-Time,0,439785.02,1,0,1,0
465,Nigeria,HRDT,Air,"Orgenics, Ltd",PMO - US,Direct Drop,2008-07-09,2008-07-04,2008,7,2008-07,0,NA,NA,Included,On-Time,-5,54.98,1,0,1,0
466,Ethiopia,HRDT,Air,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,PMO - US,Direct Drop,2008-05-09,2008-05-09,2008,5,2008-05,0,NA,NA,Included,On-Time,0,691.42,1,0,1,0
530,Vietnam,ARV,Air,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),PMO - US,Direct Drop,2008-09-19,2008-09-19,2008,9,2008-09,13507.92,1537,8.788497072218608,Numeric,On-Time,0,18359.04,1,0,1,0
531,South Africa,ARV,Truck,S. BUYS WHOLESALER,PMO - US,Direct Drop,2008-08-20,2008-08-20,2008,8,2008-08,0,NA,NA,Included,On-Time,0,103.4,1,0,0,1
532,South Africa,ARV,Truck,S. BUYS WHOLESALER,PMO - US,Direct Drop,2008-08-20,2008-05-08,2008,8,2008-08,0,NA,NA,Included,On-Time,-104,1906,1,0,0,1
533,South Africa,ARV,Truck,S. BUYS WHOLESALER,PMO - US,Direct Drop,2008-08-20,2008-05-08,2008,8,2008-08,0,NA,NA,Included,On-Time,-104,1025.1,1,0,0,1
535,Tanzania,ARV,Air,BRISTOL-MYERS SQUIBB,PMO - US,Direct Drop,2008-09-02,2008-09-02,2008,9,2008-09,645.1,117,5.513675213675214,Numeric,On-Time,0,61470.99,1,0,1,0
543,Haiti,HRDT,Air,Orasure Technologies Inc.,PMO - US,Direct Drop,2008-09-30,2008-09-30,2008,9,2008-09,782.13,109,7.175504587155963,Numeric,On-Time,0,9800,1,0,1,0
551,Haiti,HRDT,Air,"Trinity Biotech, Plc",PMO - US,Direct Drop,2008-11-24,2008-11-24,2008,11,2008-11,871.57,54,16.140185185185185,Numeric,On-Time,0,11676,1,0,1,0
598,South Africa,ARV,Truck,S. BUYS WHOLESALER,PMO - US,Direct Drop,2008-06-12,2008-06-09,2008,6,2008-06,0,NA,NA,Included,On-Time,-3,1049.4,1,0,0,1
610,Vietnam,ARV,Air,Aurobindo Pharma Limited,PMO - US,Direct Drop,2008-09-19,2008-09-19,2008,9,2008-09,18614.72,2719,6.8461640308937115,Numeric,On-Time,0,92736,1,0,1,0
630,Nigeria,ACT,Air,IDA FOUNDATION,PMO - US,Direct Drop,2009-02-25,2008-09-09,2009,2,2009-02,1755.87,115,15.268434782608695,Numeric,On-Time,-169,1547.68,1,0,1,0
637,Vietnam,ARV,Air,Aurobindo Pharma Limited,PMO - US,Direct Drop,2008-10-08,2008-10-08,2008,10,2008-10,10179.16,2600,3.9150615384615386,Numeric,On-Time,0,60900,1,0,1,0
646,South Africa,ARV,Truck,S. BUYS WHOLESALER,PMO - US,Direct Drop,2008-07-10,2008-07-08,2008,7,2008-07,0,NA,NA,Included,On-Time,-2,696.5,1,0,0,1
660,Vietnam,ARV,Air,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),PMO - US,Direct Drop,2008-11-27,2008-11-27,2008,11,2008-11,4686.88,1224,3.829150326797386,Numeric,On-Time,0,171192,1,0,1,0
668,Guyana,MRDT,Air,ZEPHYR BIOMEDICALS,PMO - US,Direct Drop,2008-08-15,2008-08-15,2008,8,2008-08,180,34,5.294117647058823,Numeric,On-Time,0,3675,1,0,1,0
670,Zambia,HRDT,Air,"Orgenics, Ltd",PMO - US,Direct Drop,2008-10-20,2008-10-20,2008,10,2008-10,11062.05,1053,10.505270655270657,Numeric,On-Time,0,323955,1,0,1,0
712,Namibia,HRDT,Air,"Trinity Biotech, Plc",PMO - US,Direct Drop,2008-09-18,2008-09-18,2008,9,2008-09,0,NA,NA,Included,On-Time,0,320,1,0,1,0
717,Côte d'Ivoire,HRDT,Air,BIO-RAD LABORATORIES (FRANCE),PMO - US,Direct Drop,2008-10-02,2008-10-02,2008,10,2008-10,11298.13,562,20.103434163701067,Numeric,On-Time,0,38000,1,0,1,0
719,Côte d'Ivoire,ACT,Air,IDA FOUNDATION,PMO - US,Direct Drop,2009-01-23,2009-01-23,2009,1,2009-01,12830.91,1708,7.512242388758782,Numeric,On-Time,0,9750,1,0,1,0
772,Nigeria,ARV,Air,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),PMO - US,Direct Drop,2009-03-10,2009-04-08,2009,3,2009-03,0,NA,NA,Included,Late,29,453.6,0,1,1,0
791,Namibia,HRDT,Air,"Orgenics, Ltd",PMO - US,Direct Drop,2008-10-29,2008-10-29,2008,10,2008-10,2698.04,46,58.65304347826087,Numeric,On-Time,0,10798.5,1,0,1,0
796,Botswana,HRDT,Air,"Trinity Biotech, Plc",PMO - US,Direct Drop,2008-11-28,2008-11-28,2008,11,2008-11,578.01,1,578.01,Numeric,On-Time,0,450,1,0,1,0
797,Zambia,HRDT,Air,"Standard Diagnostics, Inc.",PMO - US,Direct Drop,2009-01-23,2009-01-23,2009,1,2009-01,1122.24,100,11.2224,Numeric,On-Time,0,6380,1,0,1,0
835,South Africa,ARV,Truck,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-05-17,2008-10-09,2009,5,2009-05,0,NA,NA,Included,On-Time,-220,1830.4,1,0,0,1
836,South Africa,ARV,Truck,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-05-17,2009-05-17,2009,5,2009-05,0,NA,NA,Included,On-Time,0,2745.6,1,0,0,1
